    "BPMZ8T2R",    0, 0,     0,             32,      1,         1
    "BPMZ8T4R",    0, 0,     0,             64,      1,         1
    "BPMZ8D5R",    0, 0,     0,             72,      1,         1
    "BPMZ8T7R",    0, 0,     0,            112,      1,         1
    "BPMZ8D8R",    0, 0,     0,            120,      1,         1
    "BPMZ44D1R",   0, 0,     1.785,         24,      1,         1
    "BPMZ5D1R",    0, 0,     2.736,          1,      1,         1
    "BPMZ6D1R",    1, 1,     3.995,          2,      1,         1
    "BPMZ7D1R",    1, 1,     6.474,          3,      1,         1
    "BPMZ1T1R",    1, 1,     7.675,          4,      1,         1
    "BPMZ2T1R",    1, 1,     8.591,          5,      1,         1
    "BPMZ3T1R",    1, 1,    11.005,          6,      1,         1
    "BPMZ4T1R",    1, 1,    12.639,          7,      1,         1
    "BPMZ43T1R",   0, 0,    15.9296,        56,      1,         1
    "BPMZ5T1R",    1, 1,    17.361,          9,      1,         1
    "BPMZ6T1R",    1, 1,    18.995,         10,      1,         1
    "BPMZ7T1R",    1, 1,    21.474,         11,      1,         1
    "BPMZ1D2R",    1, 1,    22.675,         12,      1,         1
    "BPMZ2D2R",    1, 1,    23.591,         13,      1,         1
    "BPMZ3D2R",    1, 1,    26.005,         14,      1,         1
    "BPMZ4D2R",    1, 1,    27.264,         15,      0.3,       1
    "BPMZ5D2R",    1, 1,    32.736,         17,      1,         1
    "BPMZ6D2R",    1, 1,    33.995,         18,      1,         1
    "BPMZ7D2R",    1, 1,    36.474,         19,      1,         1
    "BPMZ1T2R",    1, 1,    37.675,         20,      1,         1
    "BPMZ2T2R",    1, 1,    38.591,         21,      1,         1
    "BPMZ3T2R",    1, 1,    41.005,         22,      1,         1
    "BPMZ4T2R",    1, 1,    42.639,         23,      1,         1
    "BPMZ5T2R",    1, 1,    47.361,         25,      1,         1
    "BPMZ6T2R",    1, 1,    48.995,         26,      1,         1
    "BPMZ7T2R",    1, 1,    51.474,         27,      1,         1
    "BPMZ1D3R",    1, 1,    52.675,         28,      1,         1
    "BPMZ2D3R",    1, 1,    53.591,         29,      1,         1
    "BPMZ3D3R",    1, 1,    56.005,         30,      1,         1
    "BPMZ4D3R",    1, 1,    57.264,         31,      1,         1
    "BPMZ5D3R",    1, 1,    62.736,         33,      1,         1
    "BPMZ6D3R",    1, 1,    63.995,         34,      1,         1
    "BPMZ7D3R",    1, 1,    66.474,         35,      1,         1
    "BPMZ1T3R",    1, 1,    67.675,         36,      1,         1
    "BPMZ2T3R",    0, 0,    68.591,         37,      1,         1
    "BPMZ3T3R",    1, 1,    71.005,         38,      1,         1
    "BPMZ4T3R",    1, 1,    72.639,         39,      1,         1
    "BPMZ41T3R",   0, 0,    74.1275,        40,      1,         1
    "BPMZ42T3R",   0, 0,    75.3795,        48,      1,         1
    "BPMZ5T3R",    1, 1,    77.361,         41,      1,         1
    "BPMZ6T3R",    1, 1,    78.995,         42,      1,         1
    "BPMZ7T3R",    1, 1,    81.474,         43,      1,         1
    "BPMZ1D4R",    1, 1,    82.675,         44,      1,         1
    "BPMZ2D4R",    1, 1,    83.591,         45,      1,         1
    "BPMZ3D4R",    1, 1,    86.005,         46,      1,         1
    "BPMZ4D4R",    1, 1,    87.264,         47,      1,         1
    "BPMZ5D4R",    1, 1,    92.736,         49,      1,         1
    "BPMZ6D4R",    1, 1,    93.995,         50,      1,         1
    "BPMZ7D4R",    0, 0,    96.474,         51,      1,         1
    "BPMZ1T4R",    1, 1,    97.675,         52,      1,         1
    "BPMZ2T4R",    1, 1,    98.591,         53,      1,         1
    "BPMZ3T4R",    1, 1,   101.005,         54,      1,         1
    "BPMZ4T4R",    1, 1,   102.639,         55,      1,         1
    "BPMZ5T4R",    1, 1,   107.361,         57,      1,         1
    "BPMZ6T4R",    1, 1,   108.995,         58,      1,         1
    "BPMZ7T4R",    1, 1,   111.474,         59,      1,         1
    "BPMZ1D5R",    1, 1,   112.675,         60,      1,         1
    "BPMZ2D5R",    1, 1,   113.591,         61,      1,         1
    "BPMZ3D5R",    1, 1,   116.005,         62,      1,         1
    "BPMZ4D5R",    1, 1,   117.6933,        63,      1,         1
    "BPMZ5D5R",    1, 1,   122.3067,        65,      1,         1
    "BPMZ6D5R",    1, 1,   123.995,         66,      1,         1
    "BPMZ7D5R",    1, 1,   126.474,         67,      1,         1
    "BPMZ1T5R",    1, 1,   127.675,         68,      1,         1
    "BPMZ2T5R",    1, 1,   128.591,         69,      1,         1
    "BPMZ3T5R",    1, 1,   131.005,         70,      1,         1
